OMIM:126180	Dominant
OMIM:126190	Dominant
OMIM:126200	Others
OMIM:126250	Dominant
OMIM:126300	Dominant
OMIM:126320	Dominant
OMIM:126500	Dominant
OMIM:126550	Dominant
OMIM:126600	Dominant
OMIM:126700	Dominant
OMIM:126800	Dominant
OMIM:126840	Dominant
OMIM:126850	Dominant
OMIM:126900	Dominant
OMIM:126950	Dominant
OMIM:127000	Dominant
OMIM:127100	Dominant
OMIM:127200	Dominant
OMIM:127300	Dominant
OMIM:127400	Dominant
OMIM:127500	Dominant
OMIM:127550	Dominant
OMIM:127600	Dominant
OMIM:127700	Dominant
OMIM:127750	Dominant
OMIM:127820	Dominant
OMIM:128000	Dominant
OMIM:128100	Dominant
OMIM:128101	Dominant
OMIM:128200	Dominant
OMIM:128230	Dominant
OMIM:128235	Dominant
OMIM:128290	Dominant
OMIM:128300	Dominant
OMIM:128500	Dominant
OMIM:128600	Dominant
OMIM:128700	Dominant
OMIM:128710	Dominant
OMIM:128800	Dominant
OMIM:128950	Dominant
OMIM:128980	Dominant
OMIM:129000	Dominant
OMIM:129100	Dominant
OMIM:129150	Dominant
OMIM:129200	Dominant
OMIM:129400	Dominant
OMIM:129490	Dominant
OMIM:129500	Dominant
OMIM:129510	Dominant
OMIM:129540	Others
OMIM:129550	Dominant
OMIM:129600	Dominant
OMIM:129750	Dominant
OMIM:129810	Dominant
OMIM:129830	Dominant
OMIM:129840	Dominant
OMIM:129850	Dominant
OMIM:129900	Dominant
OMIM:130000	Dominant
OMIM:130020	Dominant
OMIM:130050	Dominant
OMIM:130060	Dominant
OMIM:130070	Recessive
OMIM:130080	Dominant
OMIM:130090	Dominant
OMIM:130100	Dominant
OMIM:130180	Dominant
OMIM:130190	Dominant
OMIM:130200	Dominant
OMIM:130300	Dominant
OMIM:130400	Dominant
OMIM:130600	Dominant
OMIM:130650	Dominant
OMIM:130710	Dominant
OMIM:130720	Dominant
OMIM:130900	Dominant
OMIM:130950	Dominant
OMIM:131100	Dominant
OMIM:131200	Recessive
OMIM:131300	Dominant
OMIM:131400	Dominant
OMIM:131440	Dominant
OMIM:131450	Dominant
OMIM:131460	Dominant
